Nom,Type,Lieu,Telephone,Site internet,Commentaire
Le chalet (Dominique Sarrouy),Gîte 3 chambres / 7 personnes,"Saint-Félix-De-Pallières, Hameau de la Hourne",07 63 73 94 96,,
Christian et Lucette,1 chambre d'hôte / 1 gite,"Saint-Félix-De-Pallières, Hameau de Massane",06 16 55 92 40 ou 06 26 63 56 55,https://hameau-de-massane.fr,1 chambre avec lit en 160 et un canapé convertible  2 nuits minimum 180€
Le portel des Arnaud,5 chambres d'hôtes,"Durfort, à 5 km",07 88 17 16 79,http://www.leporteldesarnaud.com/,3 chambres pour un couple et une chambre pour 3 adultes ou 1 couple avec 2 enfants. Réservation ouverte à partir de mars 2025.
Mathieu et Sophie Desimeur,2 chambres d'hôtes,Monoblet - Les Montèzes,06 09 72 08 42,,4 chambres à 100€/nuit minimum 2 nuits petit déjeuner compris (10mn en voiture)
Apparts Hôtel des 4 Sources,Appart'hôtel,Anduze,,,"7 chambres 2 pers : 79€ nuit ; 1 chambre triple 87€ ; 7 appts T2 89€/nuit ; 2 appts T3 109€/nuit ; studio 85€/nuit. Il faut ajouter les draps 14€/chambre, les serviettes 7€/chambre et le ménage."
Camping Castel Rose Ciela Village,Camping,Anduze,,,Tarifs 2025 à paraitre mi-octobre et réservations pour 7 nuits minimum
Hôtel Garage des Cévennes,Hôtel,Anduze,,,6 chambres lit 160 à 97€/nuit ; 3 twins ou doubles (2 lits ou 1x180) 97€ ; 2 chambres supérieures lit 160 120€/nuit
Charmant mazet indépendant dans mas cévenol,Mazet,Saint-Félix-de-Pallières,,https://www.airbnb.fr/rooms/19221398?viralityEntryPoint=1&s=76,6 personnes
Chambre indépendante avec patio privatif,Chambre,Saint-Félix-de-Pallières,,https://www.airbnb.fr/rooms/924021175298993497?viralityEntryPoint=1&s=76,2 personnes
Maison indépendante avec jardin,Maison,3km d'Anduze,,https://www.airbnb.fr/rooms/1207879695003865674?viralityEntryPoint=1&s=76,4 personnes
Gîte l'écureuil d'Anduze avec jacuzzi,Gîte,Anduze,,https://www.airbnb.fr/rooms/934680251228611333?viralityEntryPoint=1&s=76,6 personnes 
Un havre aux pieds des Cevennes,Gîte,Saint-Félix-De-Pallières,,https://www.airbnb.fr/rooms/714907712868876448?viralityEntryPoint=1&s=76,8 personnes
Appart 6 pers dans maison. Piscine jardin,Appartement,Anduze,,https://www.airbnb.fr/rooms/43896542?viralityEntryPoint=1&s=76,6 personnes 